fr_fr,en_gb,ifcproduct,ifctypeproduct,allplan,archicad,revit,domaine_architecture,domaine_structure,domaine_fluides
,Pressure Sensor,IfcDistributionControlElement,IfcSensorType PRESSURESENSOR,,,,,,YES
,Siren,IfcDistributionControlElement,IfcAlarmType SIREN,,,,,,YES
,Temperature Sensor,IfcDistributionControlElement,IfcSensorType TEMPERATURESENSOR,,,,,,YES
,Thermometer,IfcDistributionControlElement,IfcFlowInstrumentType THERMOMETER,,,,,,YES
,Voltmeter (Peak),IfcDistributionControlElement,IfcFlowInstrumentType VOLTMETER_PEAK,,,,,,YES
,Voltmeter (RMS),IfcDistributionControlElement,IfcFlowInstrumentType VOLTMETER_RMS,,,,,,YES
,Whistle,IfcDistributionControlElement,IfcAlarmType WHISTLE,,,,,,YES
,Alarm,IfcDistributionControlElement,IfcAlarmType *,,,,,,YES
,Break Glass Button,IfcDistributionControlElement,IfcAlarmType BREAKGLASSBUTTON,,,,,,YES
,CO2 Sensor,IfcDistributionControlElement,IfcSensorType C02SENSOR,,,,,,YES
,Gas Sensor,IfcDistributionControlElement,IfcSensorType GASSENSOR,,,,,,YES
,Light Sensor,IfcDistributionControlElement,IfcSensorType LIGHTSENSOR,,,,,,YES
,Moisture Sensor,IfcDistributionControlElement,IfcSensorType MOISTURESENSOR,,,,,,YES
,Movement Sensor,IfcDistributionControlElement,IfcSensorType MOVEMENTSENSOR,,,,,,YES
,Power Factor Meter,IfcDistributionControlElement,IfcFlowInstrumentType POWERFACTORMETER,,,,,,YES
,Sensor,IfcDistributionControlElement,IfcSensorType *,,,,,,YES
,Smoke Sensor,IfcDistributionControlElement,IfcSensorType SMOKESENSOR,,,,,,YES
,Sound Sensor,IfcDistributionControlElement,IfcSensorType SOUNDSENSOR,,,,,,YES
,Distribution Element,IfcDistributionElement,IfcDistributionElementType,,,,,,YES
,Distribution Flow Element,IfcDistributionElement,IfcDistributionFlowElementType,,,,,,YES
,Electric Meter,IfcDistributionFlowElement,IfcFlowMeterType ELECTRICMETER,,,,,,YES
,Flow Meter,IfcDistributionFlowElement,IfcFlowMeterType FLOWMETER,,,,,,YES
,Protective Device,IfcDistributionFlowElement,IfcProtectiveDeviceType *,,,,,,YES
,Relay,IfcDistributionFlowElement,IfcElectricTimeControlType RELAY,,,,,,YES
,Residual Current Switch,IfcDistributionFlowElement,IfcProtectiveDeviceType RESIDUALCURRENTSWITCH,,,,,,YES
,Smoke Damper,IfcDistributionFlowElement,IfcDamperType SMOKEDAMPER,,,,,,YES
