fr_fr,en_gb,ifcproduct,ifctypeproduct,allplan,archicad,revit,domaine_architecture,domaine_structure,domaine_fluides
Voûte brisée,,IfcRoof,IfcRoofType RAINBOW_ROOF,,Toit,Toit,YES,,
Toiture papillon,,IfcRoof,IfcRoofType BUTTERFLY_ROOF,,Toit,Toit,YES,,
Toiture à 4 pans égaux,,IfcRoof,IfcRoofType PAVILION_ROOF,,Toit,Toit,YES,,
Dôme,,IfcRoof,IfcRoofType DOME_ROOF,,Toit,Toit,YES,,
Toiture à forme libre,,IfcRoof,IfcRoofType FREEFORM,,Toit,Toit,YES,,
Dalle,Slab,IfcSlab,IfcSlabType,,Dalle,Sol,YES,,
Radier,Base Slab,IfcSlab BASESLAB,IfcSlabType BASESLAB,,Dalle,Radier,YES,YES,
Plancher,Floor,IfcSlab FLOOR,IfcSlabType FLOOR,,Dalle,Sol,YES,YES,
Palier,Landing,IfcSlab LANDING,IfcSlabType LANDING,,Dalle,Sol,YES,YES,
Toiture,Roof,IfcSlab ROOF,IfcSlabType ROOF,,Toit,Toit,YES,YES,
Zone,Area,IfcSpace,IfcSpaceType *,,Zone,Pièce,YES,,
Espace,Space,IfcSpace,IfcSpaceType *,,Zone,Pièce,YES,,
Pièce,Room,IfcSpace,IfcSpaceType,,Zone,Pièce,YES,,
Escalier,Stair,IfcStair *,n/a,,Escalier,Escalier,YES,,
Escalier droit,,IfcStair STRAIGHT_RUN_STAIR,,,Escalier,Escalier,YES,,
Escalier droit avec palier intermédiaire,,IfcStair TWO_STRAIGHT_RUN_STAIR,,,Escalier,Escalier,YES,,
,,IfcStair QUARTER_WINDING_STAIR,,,Escalier,Escalier,YES,,
Escalier quart tournant,,IfcStair QUARTER_TURN_STAIR,,,Escalier,Escalier,YES,,
Escalier balancé,,IfcStair HALF_WINDING_STAIR,,,Escalier,Escalier,YES,,
,,IfcStair HALF_TURN_STAIR,,,Escalier,Escalier,YES,,
,,IfcStair TWO_QUARTER_WINDING_STAIR,,,Escalier,Escalier,YES,,
,,IfcStair TWO_QUARTER_TURN_STAIR,,,Escalier,Escalier,YES,,
,,IfcStair THREE_QUARTER_WINDING_STAIR,,,Escalier,Escalier,YES,,
,,IfcStair THREE_QUARTER_TURN_STAIR,,,Escalier,Escalier,YES,,
Escalier hélicoïdal,,IfcStair SPIRAL_STAIR,,,Escalier,Escalier,YES,,
,,IfcStair DOUBLE_RETURN_STAIR,,,Escalier,Escalier,YES,,
,,IfcStair CURVED_RUN_STAIR,,,Escalier,Escalier,YES,,
,,IfcStair TWO_CURVED_RUN_STAIR,,,Escalier,Escalier,YES,,
Volée d'escalier,Stair Flight,IfcStairFlight,IfcStairFlightType,,Escalier,Escalier,YES,,
Volée d'escalier droite,,IfcStairFlight,IfcStairFlightType STRAIGHT,,Escalier,Escalier,YES,,
,,IfcStairFlight,IfcStairFlightType WINDER,,Escalier,Escalier,YES,,
,,IfcStairFlight,IfcStairFlightType SPIRAL,,Escalier,Escalier,YES,,
,,IfcStairFlight,IfcStairFlightType CURVED,,Escalier,Escalier,YES,,
,,IfcStairFlight,IfcStairFlightType FREEFORM,,Escalier,Escalier,YES,,
Tendon,Tendon,IfcTendon,n/a,,,,,YES,
Ancrage de tendon,Tendon Anchor,IfcTendonAnchor,n/a,,,,,YES,
Tapis roulant,Moving Walkway,IfcTranportElement MOVINGWALKWAY,IfcTransportElementType MOVINGWALKWAY,,Objet,,YES,,
Elément de transport,Transport Element,IfcTransportElement *,IfcTransportElementType *,,Objet,,YES,,
Ascenseur,Elevator,IfcTransportElement ELEVATOR,IfcTransportElementType ELEVATOR,,Objet,,YES,,
Escalier mécanique,Escalator,IfcTransportElement ESCALATOR,IfcTransportElementType ESCALATOR,,Objet,,YES,,
Cloison,Bulkhead,IfcWall,IfcWallType,,Mur,Mur,YES,,
Coffrage de sanitaires,Plumbing Wall,IfcWall,IfcWallType PLUMBINGWALL,,Mur,Mur,YES,,
Mur avec fruit,Shear Wall,IfcWall,IfcWallType SHEAR,,Mur,Mur,YES,YES,
Mur à épaisseur constante dans la longueur,,IfcWall,IfcWallType STANDARD,,Mur,Mur,YES,YES,
Mur à épaisseur variable dans la longueur,,IfcWall,IfcWallType POLYGONAL,,Mur,Mur,YES,YES,
Mur composé de différents éléments (ex: ossature bois),,IfcWall,IfcWallType ELEMENTEDWALL,,Mur,Mur,YES,YES,
Mur,Wall,IfcWall,IfcWallType *,,Mur,Mur,YES,YES,
Fenêtre,Window,IfcWindow,IfcWindowStyle *,,Fenêtre,Fenêtre,YES,,
Chassis vitré,Glazed Screen,IfcWindow,IfcWindowStyle *,,Fenêtre,Fenêtre,YES,,
Fenêtre de toit,Rooflight,IfcWindow,IfcWindowStyle *,,Fenêtre de toit,,YES,,
Verrière,Skylight,IfcWindow,IfcWindowStyle *,,,,YES,,
,Energy Conversion Device,,IfcEnergyConversionDeviceType *,,,,,,YES
